"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"24013","Kara Thevenot","SK (Silvernagle)","2.2857","2.939","7",49,"FREEZE"
"24014","Liz Fyfe","MB (Fleury)","2.7143","2.8648","7",49,"FREEZE"
"24015","Jessie Hunkin","SK (Silvernagle)","2.5714","2.8749","7",49,"FREEZE"
"24016","Jennifer Blaney","NU (Blaney)","2.0000","2.712","6",49,"FREEZE"
"24017","Hailey Birnie","YT (Baldwin)","2.8333","2.699","6",49,"FREEZE"
"24018","Chelsea Carey","AB (Carey)","3.5000","2.664","6",49,"FREEZE"
"24019","Michelle McQuaid","PE (Birt)","3.3333","3.0058","6",49,"FREEZE"
"24020","Ladene Shaw","YT (Baldwin)","2.2000","2.7836","5",49,"FREEZE"
"24021","Kerry Galusha","NT (Galusha)","3.2000","2.8162","5",49,"FREEZE"
"24022","Jen Gates","NO (McCarville)","3.8000","2.8749","5",49,"FREEZE"
"24023","Kristie Moore","WC (Scheidegger)","3.4000","2.9027","5",49,"FREEZE"
"24024","Selena Njegovan","MB (Fleury)","3.0000","2.8292","5",49,"FREEZE"
"24025","Nicole Baldwin","YT (Baldwin)","3.2500","2.7036","4",49,"FREEZE"
"24026","Sarah Koltun","NT (Galusha)","2.5000","2.6978","4",49,"FREEZE"
"24027","Gabrielle Lavoie","QC (Lavoie)","2.7500","2.694","4",49,"FREEZE"
"24028","Jenn Brine","NS (Brothers)","1.7500","2.916","4",49,"FREEZE"
"24029","Lisa Weagle","ON (Homan)","3.7500","3.0026","4",49,"FREEZE"
"24030","Jennifer Jones","CA (Jones)","2.7500","2.8936","4",49,"FREEZE"
"24031","Sarah Potts","NO (McCarville)","2.5000","3.1242","4",49,"FREEZE"
"24032","Sarah Murphy","NS (Brothers)","1.7500","2.7502","4",49,"FREEZE"
"24033","Kristin MacCuish","MB (Fleury)","3.2500","2.9608","4",49,"FREEZE"
"24034","Jennifer Armstrong","NB (Crawford)","1.7500","2.8332","4",49,"FREEZE"
"24035","Jillian Babin","NB (Crawford)","2.2500","2.6281","4",49,"FREEZE"
"24036","Kelli Sharpe (Turpin)","NL (Sharpe)","2.6667","2.686","3",49,"FREEZE"
"24037","Erin Carmody","NS (Brothers)","2.0000","2.616","2",49,"FREEZE"
"24038","Jen Rusnell","BC (Wark)","3.0000","3.182","2",49,"FREEZE"
"24039","Anna Munroe","QC (Lavoie)","2.0000","2.8185","2",49,"FREEZE"
"24040","Rachel Brown","AB (Carey)","3.5000","3.2163","2",49,"FREEZE"
"24041","Shona Barbour","NT (Galusha)","4.0000","2.9142","2",49,"FREEZE"
"24042","Brittany Tran","NT (Galusha)","2.5000","2.7113","2",49,"FREEZE"
"24043","Katie Forward","NB (Crawford)","0.0000","2.8097","1",49,"FREEZE"
"24044","Jill Officer","CA (Jones)","4.0000","2.8619","1",49,"FREEZE"
"24045","Beth Hamilton","NL (Sharpe)","4.0000","2.6814","1",49,"FREEZE"
"24046","Stephanie Guzzwell","NL (Sharpe)","3.0000","2.7108","1",49,"FREEZE"
"24047","Carrie Vautour","NL (Sharpe)","3.0000","2.8619","1",49,"FREEZE"
"24048","Helen Strong","YT (Baldwin)","3.0000","3.0284","1",49,"FREEZE"
"24049","Michelle Jewer","NL (Sharpe)","2.0000","3.0284","1",49,"FREEZE"
"24050","Julie Daigle","QC (Lavoie)","3.0000","2.7177","1",49,"FREEZE"
"24051","Lisa Weagle","ON (Homan)","2.8654","2.38","52",49,"WICK"
"24052","Rachel Brown","AB (Carey)","2.1000","2.3223","20",49,"WICK"
"24053","Kara Thevenot","SK (Silvernagle)","2.7778","2.3083","18",49,"WICK"
"24054","Sarah Potts","NO (McCarville)","3.3077","2.3453","13",49,"WICK"
"24055","Kristie Moore","WC (Scheidegger)","2.5833","2.3246","12",49,"WICK"
"24056","Kristin MacCuish","MB (Fleury)","1.5000","2.152","6",49,"WICK"
"24057","Dawn McEwen","CA (Jones)","3.0000","2.2883","5",49,"WICK"
"24058","Jen Rusnell","BC (Wark)","4.0000","2.2185","5",49,"WICK"
"24059","Michelle McQuaid","PE (Birt)","0.0000","2.3481","2",49,"WICK"
"24060","Helen Strong","YT (Baldwin)","3.0000","2.2644","1",49,"WICK"
"24061","Shona Barbour","NT (Galusha)","1.0000","2.4318","1",49,"WICK"
"24062","Jill Officer","CA (Jones)","3.0000","2.2644","1",49,"WICK"
"24063","Jenn Brine","NS (Brothers)","3.0000","2.2644","1",49,"WICK"
"24064","Paige PAPLEY","Canada","3.1373","3.1219","51",19,"DRAW"
"24065","Selena STURMAY","Canada","2.9487","2.7068","39",19,"DRAW"
"24066","Abby MARKS","Canada","2.9600","2.7043","25",19,"DRAW"
"24067","Kate GOODHELPSEN","Canada","2.8571","2.6139","21",19,"DRAW"
"24068","Vlada RUMIANTSEVA","Russia","3.2105","2.697","19",19,"DRAW"
"24069","KIM Hyerin","Korea","3.3125","2.6861","16",19,"DRAW"
"24070","KIM Minji","Korea","2.7857","2.826","14",19,"DRAW"
"24071","Irina RIAZANOVA","Russia","2.9231","2.6414","13",19,"DRAW"
"24072","KIM Su Jin","Korea","3.6923","3.0271","13",19,"DRAW"
"24073","Vera TIULIAKOVA","Russia","3.2500","2.8734","12",19,"DRAW"
"24074","YANG Tae I","Korea","2.5000","2.6427","12",19,"DRAW"
"24075","Rebecca MILES","United States","3.3000","3.1477","10",19,"DRAW"
"24076","Daria MOROZOVA","Russia","2.6000","2.6463","10",19,"DRAW"
"24077","Sae YAMAMOTO","Japan","2.9000","2.6115","10",19,"DRAW"
"24078","Raphaela KEISER","Switzerland","2.2000","2.7262","10",19,"DRAW"
"24079","Minori SUZUKI","Japan","2.6667","2.6556","9",19,"DRAW"
"24080","Cait FLANNERY","United States","2.8750","2.6962","8",19,"DRAW"
"24081","Mille HASLEV NORDBYE","Norway","3.3750","2.652","8",19,"DRAW"
"24082","Laura ENGLER","Switzerland","2.2500","2.5441","8",19,"DRAW"
"24083","Mone RYOKAWA","Japan","2.4286","2.738","7",19,"DRAW"
"24084","Maia RAMSFJELL","Norway","2.1667","2.6348","6",19,"DRAW"
"24085","Astri FORBREGD","Norway","2.6667","2.7768","6",19,"DRAW"
"24086","Martine ROENNING","Norway","2.6667","2.7595","6",19,"DRAW"
"24087","Maria LARSSON","Sweden","3.5000","3.113","6",19,"DRAW"
"24088","Ami ENAMI","Japan","3.4000","2.4635","5",19,"DRAW"
"24089","Selina WITSCHONKE","Switzerland","2.7500","2.6552","4",19,"DRAW"
"24090","Almida DE VAL","Sweden","3.7500","2.7401","4",19,"DRAW"
"24091","Jennie WAAHLIN","Sweden","3.0000","2.7135","3",19,"DRAW"
"24092","Leah YAVAROW","United States","3.3333","2.6622","3",19,"DRAW"
"24093","Vanessa TONOLI","Switzerland","3.0000","2.8485","2",19,"DRAW"
"24094","Lexi LANIGAN","United States","2.5000","2.7761","2",19,"DRAW"
"24095","Tova SUNDBERG","Sweden","3.0000","2.9686","2",19,"DRAW"
"24096","Selena STURMAY","Canada","3.2222","3.0251","27",19,"TAKE-OUT"
"24097","Kate GOODHELPSEN","Canada","3.1429","3.0032","21",19,"TAKE-OUT"
"24098","Abby MARKS","Canada","2.8421","2.9343","19",19,"TAKE-OUT"
"24099","Paige PAPLEY","Canada","3.5294","3.2903","17",19,"TAKE-OUT"
"24100","Jennie WAAHLIN","Sweden","2.0000","2.7972","8",19,"TAKE-OUT"
"24101","KIM Minji","Korea","3.2500","2.8727","8",19,"TAKE-OUT"
"24102","Almida DE VAL","Sweden","3.6250","3.0498","8",19,"TAKE-OUT"
"24103","Leah YAVAROW","United States","4.0000","3.026","8",19,"TAKE-OUT"
"24104","Lexi LANIGAN","United States","2.7500","2.9138","8",19,"TAKE-OUT"
"24105","Cait FLANNERY","United States","3.1667","3.1505","6",19,"TAKE-OUT"
"24106","Vlada RUMIANTSEVA","Russia","2.6667","3.0222","6",19,"TAKE-OUT"
"24107","Maia RAMSFJELL","Norway","3.6667","3.1521","6",19,"TAKE-OUT"
"24108","YANG Tae I","Korea","3.0000","2.9302","6",19,"TAKE-OUT"
"24109","Tova SUNDBERG","Sweden","3.0000","2.8509","5",19,"TAKE-OUT"
"24110","KIM Hyerin","Korea","3.6000","2.969","5",19,"TAKE-OUT"
"24111","Daria MOROZOVA","Russia","3.5000","2.9095","4",19,"TAKE-OUT"
"24112","Vera TIULIAKOVA","Russia","2.5000","3.3372","4",19,"TAKE-OUT"
"24113","Raphaela KEISER","Switzerland","3.0000","3.1426","4",19,"TAKE-OUT"
"24114","Laura ENGLER","Switzerland","3.0000","3.1036","4",19,"TAKE-OUT"
"24115","KIM Su Jin","Korea","4.0000","2.9487","4",19,"TAKE-OUT"
"24116","Mille HASLEV NORDBYE","Norway","3.0000","2.8052","4",19,"TAKE-OUT"
"24117","Astri FORBREGD","Norway","2.0000","2.7638","3",19,"TAKE-OUT"
"24118","Martine ROENNING","Norway","1.3333","3.0562","3",19,"TAKE-OUT"
"24119","Ami ENAMI","Japan","1.6667","2.7943","3",19,"TAKE-OUT"
"24120","Rebecca MILES","United States","2.6667","3.1206","3",19,"TAKE-OUT"
"24121","Maria LARSSON","Sweden","2.0000","2.9874","2",19,"TAKE-OUT"
"24122","Irina RIAZANOVA","Russia","2.0000","2.9869","2",19,"TAKE-OUT"
"24123","Vanessa TONOLI","Switzerland","4.0000","3.1759","1",19,"TAKE-OUT"
"24124","Selina WITSCHONKE","Switzerland","2.0000","3.0411","1",19,"TAKE-OUT"
"24125","Minori SUZUKI","Japan","0.0000","2.6147","1",19,"TAKE-OUT"
"24126","Mone RYOKAWA","Japan","0.0000","2.2299","1",19,"TAKE-OUT"
"24127","Vera TIULIAKOVA","Russia","3.0476","3.4481","21",19,"FRONT"
"24128","KIM Su Jin","Korea","3.7333","3.4489","15",19,"FRONT"
"24129","Vanessa TONOLI","Switzerland","2.7273","3.444","11",19,"FRONT"
"24130","Paige PAPLEY","Canada","3.2000","3.4662","10",19,"FRONT"
"24131","Mone RYOKAWA","Japan","3.7778","3.4757","9",19,"FRONT"
"24132","Rebecca MILES","United States","4.0000","3.4284","7",19,"FRONT"
"24133","Maria LARSSON","Sweden","3.3333","3.4639","6",19,"FRONT"
"24134","Astri FORBREGD","Norway","3.3333","3.4387","6",19,"FRONT"
"24135","Irina RIAZANOVA","Russia","3.1667","3.3876","6",19,"FRONT"
"24136","Leah YAVAROW","United States","2.6667","3.3938","3",19,"FRONT"
"24137","Lexi LANIGAN","United States","4.0000","3.4345","2",19,"FRONT"
"24138","Kate GOODHELPSEN","Canada","4.0000","3.3548","2",19,"FRONT"
"24139","Daria MOROZOVA","Russia","3.5000","3.6207","2",19,"FRONT"
"24140","Cait FLANNERY","United States","4.0000","3.5399","1",19,"FRONT"
"24141","Laura ENGLER","Switzerland","4.0000","3.5334","1",19,"FRONT"
"24142","Sae YAMAMOTO","Japan","4.0000","3.4145","1",19,"FRONT"
"24143","Abby MARKS","Canada","4.0000","3.3921","1",19,"FRONT"
"24144","Kate GOODHELPSEN","Canada","3.5000","2.8574","12",19,"HIT-ROLL"
"24145","Abby MARKS","Canada","3.3000","2.9601","10",19,"HIT-ROLL"
"24146","Selena STURMAY","Canada","3.3333","2.9438","9",19,"HIT-ROLL"
"24147","Daria MOROZOVA","Russia","3.2857","2.9159","7",19,"HIT-ROLL"
"24148","Vlada RUMIANTSEVA","Russia","2.4286","2.8574","7",19,"HIT-ROLL"
"24149","Irina RIAZANOVA","Russia","2.5714","2.7048","7",19,"HIT-ROLL"
"24150","KIM Minji","Korea","2.6667","2.7889","6",19,"HIT-ROLL"
"24151","YANG Tae I","Korea","2.6667","2.8344","6",19,"HIT-ROLL"
"24152","Raphaela KEISER","Switzerland","3.0000","2.9309","5",19,"HIT-ROLL"
"24153","Sae YAMAMOTO","Japan","2.6000","2.7088","5",19,"HIT-ROLL"
"24154","Selina WITSCHONKE","Switzerland","2.6000","2.815","5",19,"HIT-ROLL"
"24155","Vanessa TONOLI","Switzerland","3.0000","2.6992","3",19,"HIT-ROLL"
"24156","Minori SUZUKI","Japan","3.0000","2.8106","3",19,"HIT-ROLL"
"24157","Ami ENAMI","Japan","3.3333","2.9237","3",19,"HIT-ROLL"
"24158","Paige PAPLEY","Canada","3.0000","2.7262","3",19,"HIT-ROLL"
"24159","Laura ENGLER","Switzerland","3.5000","2.7781","2",19,"HIT-ROLL"
"24160","Mone RYOKAWA","Japan","3.0000","2.8721","2",19,"HIT-ROLL"
"24161","KIM Hyerin","Korea","2.0000","2.7807","2",19,"HIT-ROLL"
"24162","Vera TIULIAKOVA","Russia","2.5000","2.6908","2",19,"HIT-ROLL"
"24163","Almida DE VAL","Sweden","2.0000","2.9984","1",19,"HIT-ROLL"
"24164","Mille HASLEV NORDBYE","Norway","4.0000","3.0127","1",19,"HIT-ROLL"
"24165","Martine ROENNING","Norway","4.0000","3.0321","1",19,"HIT-ROLL"
"24166","Tova SUNDBERG","Sweden","3.0000","2.9907","1",19,"HIT-ROLL"
"24167","KIM Su Jin","Korea","4.0000","2.7909","1",19,"HIT-ROLL"
"24168","Maria LARSSON","Sweden","3.0000","2.7705","1",19,"HIT-ROLL"
"24169","Leah YAVAROW","United States","3.0000","2.9619","1",19,"HIT-ROLL"
"24170","Cait FLANNERY","United States","4.0000","2.9442","1",19,"HIT-ROLL"
"24171","Kate GOODHELPSEN","Canada","3.8889","3.1596","9",19,"GUARD"
"24172","Abby MARKS","Canada","3.1111","3.1924","9",19,"GUARD"
"24173","Paige PAPLEY","Canada","2.6250","3.0066","8",19,"GUARD"
"24174","KIM Hyerin","Korea","3.2500","3.208","8",19,"GUARD"
"24175","YANG Tae I","Korea","3.3333","3.1537","6",19,"GUARD"
"24176","Selena STURMAY","Canada","3.4000","3.1455","5",19,"GUARD"
"24177","Martine ROENNING","Norway","2.6000","3.1439","5",19,"GUARD"
"24178","KIM Minji","Korea","3.0000","3.1669","4",19,"GUARD"
"24179","Daria MOROZOVA","Russia","4.0000","3.2268","4",19,"GUARD"
"24180","Mille HASLEV NORDBYE","Norway","3.6667","3.1653","3",19,"GUARD"
"24181","Lexi LANIGAN","United States","2.6667","3.1139","3",19,"GUARD"
"24182","KIM Su Jin","Korea","3.3333","3.0155","3",19,"GUARD"
"24183","Irina RIAZANOVA","Russia","2.6667","3.1948","3",19,"GUARD"
"24184","Vanessa TONOLI","Switzerland","0.0000","3.017","2",19,"GUARD"
"24185","Laura ENGLER","Switzerland","4.0000","3.0453","2",19,"GUARD"
"24186","Minori SUZUKI","Japan","4.0000","3.2225","2",19,"GUARD"
"24187","Maria LARSSON","Sweden","3.0000","3.0155","1",19,"GUARD"
"24188","Astri FORBREGD","Norway","4.0000","3.0776","1",19,"GUARD"
"24189","Sae YAMAMOTO","Japan","4.0000","3.0772","1",19,"GUARD"
"24190","Vlada RUMIANTSEVA","Russia","4.0000","3.2205","1",19,"GUARD"
"24191","Kate GOODHELPSEN","Canada","3.2308","3.2869","26",19,"CLEARING"
"24192","Abby MARKS","Canada","3.5909","3.3509","22",19,"CLEARING"
"24193","YANG Tae I","Korea","3.6667","3.3523","6",19,"CLEARING"
"24194","Selena STURMAY","Canada","4.0000","3.4967","5",19,"CLEARING"
"24195","KIM Hyerin","Korea","2.0000","3.3693","5",19,"CLEARING"
"24196","Tova SUNDBERG","Sweden","4.0000","3.4398","4",19,"CLEARING"
"24197","Leah YAVAROW","United States","2.5000","3.3147","4",19,"CLEARING"
"24198","Lexi LANIGAN","United States","2.7500","3.2792","4",19,"CLEARING"
"24199","Jennie WAAHLIN","Sweden","4.0000","3.3832","3",19,"CLEARING"
"24200","Irina RIAZANOVA","Russia","3.3333","3.2583","3",19,"CLEARING"
"24201","Daria MOROZOVA","Russia","4.0000","3.3805","3",19,"CLEARING"
"24202","Minori SUZUKI","Japan","2.3333","3.3344","3",19,"CLEARING"
"24203","Selina WITSCHONKE","Switzerland","4.0000","3.3741","2",19,"CLEARING"
"24204","Sae YAMAMOTO","Japan","4.0000","3.3534","2",19,"CLEARING"
"24205","KIM Minji","Korea","4.0000","3.467","2",19,"CLEARING"
"24206","Almida DE VAL","Sweden","0.0000","3.4966","1",19,"CLEARING"
"24207","Laura ENGLER","Switzerland","4.0000","3.3462","1",19,"CLEARING"
"24208","Maia RAMSFJELL","Norway","4.0000","3.5971","1",19,"CLEARING"
"24209","Ami ENAMI","Japan","4.0000","3.5489","1",19,"CLEARING"
"24210","Martine ROENNING","Norway","4.0000","3.3963","1",19,"CLEARING"
"24211","Vlada RUMIANTSEVA","Russia","2.0000","3.5593","1",19,"CLEARING"
"24212","Cait FLANNERY","United States","4.0000","3.5489","1",19,"CLEARING"
"24213","Selena STURMAY","Canada","2.3333","2.5618","6",19,"DOUBLE"
"24214","Abby MARKS","Canada","3.0000","2.5957","6",19,"DOUBLE"
"24215","Ami ENAMI","Japan","3.3333","2.4961","6",19,"DOUBLE"
"24216","Kate GOODHELPSEN","Canada","2.4000","2.5827","5",19,"DOUBLE"
"24217","Vlada RUMIANTSEVA","Russia","2.0000","2.586","4",19,"DOUBLE"
"24218","Daria MOROZOVA","Russia","3.0000","2.6152","4",19,"DOUBLE"
"24219","Irina RIAZANOVA","Russia","2.0000","2.5745","4",19,"DOUBLE"
"24220","KIM Minji","Korea","3.2500","2.3636","4",19,"DOUBLE"
"24221","Tova SUNDBERG","Sweden","2.0000","2.568","3",19,"DOUBLE"
"24222","Selina WITSCHONKE","Switzerland","3.0000","2.552","2",19,"DOUBLE"
"24223","Jennie WAAHLIN","Sweden","2.0000","2.6105","2",19,"DOUBLE"
"24224","Almida DE VAL","Sweden","4.0000","2.7026","2",19,"DOUBLE"
"24225","Maia RAMSFJELL","Norway","1.5000","2.6154","2",19,"DOUBLE"
"24226","Cait FLANNERY","United States","3.0000","2.6884","2",19,"DOUBLE"
"24227","KIM Hyerin","Korea","2.0000","2.5901","1",19,"DOUBLE"
"24228","Laura ENGLER","Switzerland","4.0000","2.659","1",19,"DOUBLE"
"24229","Sae YAMAMOTO","Japan","4.0000","2.594","1",19,"DOUBLE"
"24230","Minori SUZUKI","Japan","4.0000","2.7027","1",19,"DOUBLE"
"24231","Mone RYOKAWA","Japan","2.0000","2.5603","1",19,"DOUBLE"
"24232","Vera TIULIAKOVA","Russia","4.0000","2.5543","1",19,"DOUBLE"
"24233","Paige PAPLEY","Canada","3.0000","2.6594","5",19,"RAISE"
"24234","Selena STURMAY","Canada","3.0000","2.4646","4",19,"RAISE"
"24235","Selina WITSCHONKE","Switzerland","0.6667","1.983","3",19,"RAISE"
"24236","Daria MOROZOVA","Russia","2.6667","2.5199","3",19,"RAISE"
"24237","Abby MARKS","Canada","0.0000","2.3754","2",19,"RAISE"
"24238","Kate GOODHELPSEN","Canada","2.5000","2.4822","2",19,"RAISE"
"24239","YANG Tae I","Korea","4.0000","2.5619","2",19,"RAISE"
"24240","Maia RAMSFJELL","Norway","0.0000","1.823","1",19,"RAISE"
"24241","KIM Hyerin","Korea","3.0000","2.7333","1",19,"RAISE"
"24242","Raphaela KEISER","Switzerland","4.0000","2.478","1",19,"RAISE"
"24243","Laura ENGLER","Switzerland","0.0000","2.5356","1",19,"RAISE"
"24244","Vanessa TONOLI","Switzerland","4.0000","2.2824","1",19,"RAISE"
"24245","Minori SUZUKI","Japan","3.0000","2.8314","1",19,"RAISE"
"24246","KIM Su Jin","Korea","4.0000","2.7445","1",19,"RAISE"
"24247","Irina RIAZANOVA","Russia","2.0000","2.6423","1",19,"RAISE"
"24248","Vlada RUMIANTSEVA","Russia","4.0000","2.6264","1",19,"FREEZE"
"24249","Paige PAPLEY","Canada","2.7500","2.2135","4",19,"WICK"
"24250","Lexi LANIGAN","United States","2.0000","2.4211","1",19,"WICK"
"24251","KIM Su Jin","Korea","0.0000","1.8207","1",19,"WICK"
"24252","Kerri Einarson","Einarson","1.3750","2.8064","8",138,"DRAW"
"24253","Briane Meilleur","Einarson","3.1429","3.166","7",138,"DRAW"
"24254","Casey Scheidegger","Scheidegger","3.2857","2.6613","7",138,"DRAW"
"24255","Val Sweeting","Einarson","3.0000","2.9364","5",138,"DRAW"
"24256","Kristie Moore","Scheidegger","4.0000","3.1887","4",138,"DRAW"
"24257","Shannon Birchard","Einarson","3.3333","3.0224","3",138,"DRAW"
"24258","Jessie Haughian","Scheidegger","2.6667","2.9938","3",138,"DRAW"
"24259","Cary-Anne McTaggart","Scheidegger","1.5000","2.9268","2",138,"DRAW"
"24260","Cary-Anne McTaggart","Scheidegger","2.7143","3.2697","7",138,"TAKE-OUT"
"24261","Kerri Einarson","Einarson","3.0000","2.9678","5",138,"TAKE-OUT"
"24262","Shannon Birchard","Einarson","4.0000","3.2206","4",138,"TAKE-OUT"
"24263","Casey Scheidegger","Scheidegger","3.0000","3.0691","4",138,"TAKE-OUT"
"24264","Val Sweeting","Einarson","1.6667","3.1669","3",138,"TAKE-OUT"
"24265","Jessie Haughian","Scheidegger","2.3333","2.9865","3",138,"TAKE-OUT"
"24266","Kristie Moore","Scheidegger","3.0000","2.983","2",138,"TAKE-OUT"
"24267","Briane Meilleur","Einarson","3.0000","3.1607","2",138,"TAKE-OUT"
"24268","Briane Meilleur","Einarson","3.7500","3.612","8",138,"FRONT"
"24269","Kristie Moore","Scheidegger","3.5714","3.5821","7",138,"FRONT"
"24270","Jessie Haughian","Scheidegger","1.0000","3.4616","1",138,"FRONT"
"24271","Jessie Haughian","Scheidegger","3.0000","2.9997","2",138,"HIT-ROLL"
"24272","Shannon Birchard","Einarson","2.0000","2.8923","2",138,"HIT-ROLL"
"24273","Kristie Moore","Scheidegger","2.5000","2.9847","2",138,"HIT-ROLL"
"24274","Val Sweeting","Einarson","3.5000","3.0117","2",138,"HIT-ROLL"
"24275","Cary-Anne McTaggart","Scheidegger","4.0000","2.9365","1",138,"HIT-ROLL"
"24276","Casey Scheidegger","Scheidegger","4.0000","3.019","1",138,"HIT-ROLL"
"24277","Shannon Birchard","Einarson","3.8333","3.4261","6",138,"GUARD"
"24278","Val Sweeting","Einarson","3.6667","3.5449","6",138,"GUARD"
"24279","Jessie Haughian","Scheidegger","3.0000","3.3736","5",138,"GUARD"
"24280","Kerri Einarson","Einarson","2.6667","3.4323","3",138,"GUARD"
"24281","Casey Scheidegger","Scheidegger","2.0000","3.3462","1",138,"GUARD"
"24282","Briane Meilleur","Einarson","4.0000","3.292","1",138,"GUARD"
"24283","Cary-Anne McTaggart","Scheidegger","4.0000","3.3305","1",138,"GUARD"
"24284","Kristie Moore","Scheidegger","4.0000","3.3041","1",138,"GUARD"
"24285","Cary-Anne McTaggart","Scheidegger","3.8000","3.5797","5",138,"CLEARING"
"24286","Jessie Haughian","Scheidegger","3.8000","3.5016","5",138,"CLEARING"
"24287","Shannon Birchard","Einarson","2.0000","3.5604","2",138,"CLEARING"
"24288","Briane Meilleur","Einarson","4.0000","2.7879","1",138,"CLEARING"
"24289","Cary-Anne McTaggart","Scheidegger","2.6667","2.7117","3",138,"DOUBLE"
"24290","Val Sweeting","Einarson","2.5000","2.6777","2",138,"DOUBLE"
"24291","Casey Scheidegger","Scheidegger","1.0000","2.4108","2",138,"DOUBLE"
"24292","Shannon Birchard","Einarson","2.5000","2.7554","2",138,"DOUBLE"
"24293","Kerri Einarson","Einarson","4.0000","2.8602","1",138,"DOUBLE"
"24294","Casey Scheidegger","Scheidegger","2.0000","2.7376","2",138,"RAISE"
"24295","Cary-Anne McTaggart","Scheidegger","4.0000","2.7628","1",138,"RAISE"
"24296","Kristie Moore","Scheidegger","2.0000","2.8405","1",138,"RAISE"
"24297","Kerri Einarson","Einarson","0.0000","2.5685","1",138,"RAISE"
"24298","Briane Meilleur","Einarson","4.0000","2.9039","1",138,"RAISE"
"24299","Jessie Haughian","Scheidegger","3.0000","2.8024","1",138,"RAISE"
"24300","Shannon Birchard","Einarson","0.0000","2.7332","1",138,"RAISE"
"24301","Val Sweeting","Einarson","4.0000","2.8656","1",138,"RAISE"
"24302","Casey Scheidegger","Scheidegger","2.3333","2.7392","3",138,"FREEZE"
"24303","Kerri Einarson","Einarson","3.5000","2.8186","2",138,"FREEZE"
"24304","Kristie Moore","Scheidegger","4.0000","3.0358","1",138,"FREEZE"
"24305","Val Sweeting","Einarson","0.0000","2.8293","1",138,"FREEZE"
"24306","Kristie Moore","Scheidegger","4.0000","2.3481","2",138,"WICK"
"24307","KIM Su Jin","Korea","3.2097","3.2884","62",9,"DRAW"
"24308","Julia GUZIEVA","Russia","3.4318","3.2407","44",9,"DRAW"
"24309","Sofia MABERGS","Sweden","3.2683","3.279","41",9,"DRAW"
"24310","KIM Minji","Korea","3.2195","2.9383","41",9,"DRAW"
"24311","Cory CHRISTENSEN","United States","2.6000","2.8504","40",9,"DRAW"
"24312","JIANG Yilun","China","3.0789","2.9205","38",9,"DRAW"
"24313","Sophie SINCLAIR","Scotland","3.3889","3.1982","36",9,"DRAW"
"24314","JIANG Xindi","China","3.0278","3.2524","36",9,"DRAW"
"24315","Mili SMITH","Scotland","2.8286","2.9468","35",9,"DRAW"
"24316","KIM Hyerin","Korea","3.0000","2.9113","34",9,"DRAW"
"24317","Arisa KOTANI","Japan","3.0294","3.2128","34",9,"DRAW"
"24318","Darcy ROBERTSON","Canada","2.3030","2.7195","33",9,"DRAW"
"24319","Anna HASSELBORG","Sweden","2.9688","2.9813","32",9,"DRAW"
"24320","Sophie JACKSON","Scotland","2.4516","2.8338","31",9,"DRAW"
"24321","Tori KOANA","Japan","2.8710","2.8658","31",9,"DRAW"
"24322","Madison BEAR","United States","3.3548","3.1356","31",9,"DRAW"
"24323","Vicky PERSINGER","United States","2.7000","2.9296","30",9,"DRAW"
"24324","ZHANG Lijun","China","3.0690","2.9097","29",9,"DRAW"
"24325","Anna SIDOROVA","Russia","2.8276","2.999","29",9,"DRAW"
"24326","Margarita FOMINA","Russia","2.9259","2.877","28",9,"DRAW"
"24327","Naomi BROWN","Scotland","1.9630","2.9456","27",9,"DRAW"
"24328","Mao ISHIGAKI","Japan","3.0800","2.9519","25",9,"DRAW"
"24329","Jenna MARTIN","United States","3.2083","2.9458","24",9,"DRAW"
"24330","Karen KLEIN","Canada","2.3333","2.923","24",9,"DRAW"
"24331","Yulia PORTUNOVA","Russia","2.8696","2.9605","23",9,"DRAW"
"24332","Agnes KNOCHENHAUER","Sweden","3.0870","2.9546","23",9,"DRAW"
"24333","DONG Ziqi","China","2.8636","2.9611","22",9,"DRAW"
"24334","Junko NISHIMURO","Japan","2.7143","2.9182","21",9,"DRAW"
"24335","Sara McMANUS","Sweden","3.3810","2.9733","21",9,"DRAW"
"24336","Vanessa FOSTER","Canada","2.8571","2.9678","21",9,"DRAW"
"24337","YANG Tae I","Korea","2.5789","2.966","19",9,"DRAW"
"24338","Theresa CANNON","Canada","2.3333","3.1551","15",9,"DRAW"
"24339","Junko NISHIMURO","Japan","3.5556","3.1453","36",9,"TAKE-OUT"
"24340","Jenna MARTIN","United States","3.5588","3.2235","34",9,"TAKE-OUT"
"24341","Sara McMANUS","Sweden","3.7273","3.1964","33",9,"TAKE-OUT"
"24342","Naomi BROWN","Scotland","3.4242","3.2555","33",9,"TAKE-OUT"
"24343","KIM Hyerin","Korea","3.0303","3.1885","33",9,"TAKE-OUT"
"24344","Anna SIDOROVA","Russia","3.2500","3.1505","32",9,"TAKE-OUT"
"24345","Vanessa FOSTER","Canada","2.9032","3.1723","31",9,"TAKE-OUT"
"24346","Karen KLEIN","Canada","3.6129","3.1411","31",9,"TAKE-OUT"
"24347","Mao ISHIGAKI","Japan","3.0333","3.1053","30",9,"TAKE-OUT"
"24348","Anna HASSELBORG","Sweden","3.3448","3.25","29",9,"TAKE-OUT"
"24349","DONG Ziqi","China","3.6552","3.1553","29",9,"TAKE-OUT"
