"","year","event","event_id","game_id","start_time","round","draw","sheet","team1","team2","team1_score","team2_score","lsfe_team","ee"
"69","2024","World Championships",251,"2018","2024-04-03 19:00:00",NA,"Draw 14","D","GER (Muskatewitz)","SWE (Edin)","5","8","SWE (Edin)","0"
"70","2024","World Championships",251,"2022","2024-04-03 14:00:00",NA,"Draw 13","A","GER (Muskatewitz)","NZL (Hood)","9","2","GER (Muskatewitz)","0"
"71","2024","World Championships",251,"2023","2024-04-03 14:00:00",NA,"Draw 13","B","ITA (Retornaz)","NED (Goesgens)","8","5","ITA (Retornaz)","0"
"72","2024","World Championships",251,"5629","2024-04-03 14:00:00",NA,"Draw 13","C","KOR (Park)","NOR (Ramsfjell)","7","8","KOR (Park)","1"
"73","2024","World Championships",251,"5630","2024-04-03 14:00:00",NA,"Draw 13","D","JPN (Abe)","USA (Shuster)","6","5","JPN (Abe)","0"
"74","2024","World Championships",251,"5631","2024-04-03 09:00:00",NA,"Draw 12","A","ITA (Retornaz)","SWE (Edin)","5","7","SWE (Edin)","0"
"75","2024","World Championships",251,"5632","2024-04-03 09:00:00",NA,"Draw 12","B","NZL (Hood)","SUI (Schwaller)","3","8","SUI (Schwaller)","0"
"76","2024","World Championships",251,"5633","2024-04-03 09:00:00",NA,"Draw 12","C","CAN (Gushue)","NED (Goesgens)","7","4","CAN (Gushue)","0"
"77","2024","World Championships",251,"5634","2024-04-03 09:00:00",NA,"Draw 12","D","CZE (Klima)","SCO (Mouat)","3","6","CZE (Klima)","0"
"78","2024","World Championships",251,"5635","2024-04-02 19:00:00",NA,"Draw 11","A","CAN (Gushue)","USA (Shuster)","8","2","CAN (Gushue)","0"
"79","2024","World Championships",251,"5636","2024-04-02 19:00:00",NA,"Draw 11","B","JPN (Abe)","NOR (Ramsfjell)","7","4","NOR (Ramsfjell)","0"
"80","2024","World Championships",251,"5637","2024-04-02 19:00:00",NA,"Draw 11","C","CZE (Klima)","GER (Muskatewitz)","4","6","GER (Muskatewitz)","0"
"81","2024","World Championships",251,"5638","2024-04-02 19:00:00",NA,"Draw 11","D","KOR (Park)","SUI (Schwaller)","7","9","KOR (Park)","0"
"82","2024","World Championships",251,"5639","2024-04-02 14:00:00",NA,"Draw 10","A","NED (Goesgens)","NOR (Ramsfjell)","6","8","NED (Goesgens)","0"
"83","2024","World Championships",251,"5640","2024-04-02 14:00:00",NA,"Draw 10","B","GER (Muskatewitz)","SCO (Mouat)","8","7","GER (Muskatewitz)","0"
"84","2024","World Championships",251,"5641","2024-04-02 14:00:00",NA,"Draw 10","C","NZL (Hood)","SWE (Edin)","7","11","SWE (Edin)","0"
"85","2024","World Championships",251,"5642","2024-04-02 14:00:00",NA,"Draw 10","D","ITA (Retornaz)","USA (Shuster)","4","5","USA (Shuster)","0"
"86","2024","World Championships",251,"5643","2024-04-02 09:00:00",NA,"Draw 9","B","CZE (Klima)","KOR (Park)","10","6","CZE (Klima)","0"
"87","2024","World Championships",251,"5644","2024-04-02 09:00:00",NA,"Draw 9","C","JPN (Abe)","SUI (Schwaller)","4","10","SUI (Schwaller)","0"
"88","2024","World Championships",251,"5645","2024-04-02 09:00:00",NA,"Draw 9","D","CAN (Gushue)","NZL (Hood)","7","4","NZL (Hood)","0"
"89","2024","World Championships",251,"5646","2024-04-01 19:00:00",NA,"Draw 8","A","CZE (Klima)","JPN (Abe)","8","6","JPN (Abe)","0"
"90","2024","World Championships",251,"5647","2024-04-01 19:00:00",NA,"Draw 8","B","NED (Goesgens)","USA (Shuster)","7","6","USA (Shuster)","0"
"91","2024","World Championships",251,"5648","2024-04-01 19:00:00",NA,"Draw 8","C","ITA (Retornaz)","KOR (Park)","8","5","KOR (Park)","0"
"92","2024","World Championships",251,"5649","2024-04-01 19:00:00",NA,"Draw 8","D","GER (Muskatewitz)","NOR (Ramsfjell)","6","8","NOR (Ramsfjell)","0"
"93","2024","World Championships",251,"5650","2024-04-01 14:00:00",NA,"Draw 7","A","NOR (Ramsfjell)","SWE (Edin)","8","10","SWE (Edin)","1"
"94","2024","World Championships",251,"5651","2024-04-01 14:00:00",NA,"Draw 7","B","CAN (Gushue)","ITA (Retornaz)","6","7","ITA (Retornaz)","1"
"95","2024","World Championships",251,"5652","2024-04-01 14:00:00",NA,"Draw 7","C","NZL (Hood)","SCO (Mouat)","2","8","NZL (Hood)","0"
"96","2024","World Championships",251,"5653","2024-04-01 14:00:00",NA,"Draw 7","D","NED (Goesgens)","SUI (Schwaller)","5","8","SUI (Schwaller)","0"
"97","2024","World Championships",251,"5704","2024-04-01 09:00:00",NA,"Draw 6","A","KOR (Park)","USA (Shuster)","4","9","KOR (Park)","0"
"98","2024","World Championships",251,"5705","2024-04-01 09:00:00",NA,"Draw 6","B","CZE (Klima)","SWE (Edin)","6","8","SWE (Edin)","0"
"99","2024","World Championships",251,"5706","2024-04-01 09:00:00",NA,"Draw 6","C","GER (Muskatewitz)","JPN (Abe)","8","1","GER (Muskatewitz)","0"
"100","2024","World Championships",251,"5707","2024-03-31 19:00:00",NA,"Draw 5","A","GER (Muskatewitz)","NED (Goesgens)","9","4","NED (Goesgens)","0"
"101","2024","World Championships",251,"5708","2024-03-31 19:00:00",NA,"Draw 5","B","JPN (Abe)","NZL (Hood)","8","3","NZL (Hood)","0"
"102","2024","World Championships",251,"5709","2024-03-31 19:00:00",NA,"Draw 5","C","NOR (Ramsfjell)","USA (Shuster)","3","9","NOR (Ramsfjell)","0"
"103","2024","World Championships",251,"5710","2024-03-31 19:00:00",NA,"Draw 5","D","ITA (Retornaz)","SCO (Mouat)","3","8","SCO (Mouat)","0"
"104","2024","World Championships",251,"5711","2024-03-31 14:00:00",NA,"Draw 4","A","SUI (Schwaller)","SWE (Edin)","7","8","SUI (Schwaller)","1"
"105","2024","World Championships",251,"7337","2024-03-31 14:00:00",NA,"Draw 4","B","KOR (Park)","NED (Goesgens)","4","9","NED (Goesgens)","0"
"106","2024","World Championships",251,"7340","2024-03-31 14:00:00",NA,"Draw 4","C","CAN (Gushue)","SCO (Mouat)","8","4","CAN (Gushue)","0"
"107","2024","World Championships",251,"7341","2024-03-31 14:00:00",NA,"Draw 4","D","CZE (Klima)","NZL (Hood)","7","4","NZL (Hood)","0"
"108","2024","World Championships",251,"7342","2024-03-31 09:00:00",NA,"Draw 3","A","CZE (Klima)","ITA (Retornaz)","7","8","CZE (Klima)","0"
"109","2024","World Championships",251,"7343","2024-03-31 09:00:00",NA,"Draw 3","B","NOR (Ramsfjell)","SUI (Schwaller)","5","10","SUI (Schwaller)","0"
"110","2024","World Championships",251,"7344","2024-03-31 09:00:00",NA,"Draw 3","C","GER (Muskatewitz)","KOR (Park)","8","6","KOR (Park)","0"
"111","2024","World Championships",251,"7345","2024-03-31 09:00:00",NA,"Draw 3","D","JPN (Abe)","SWE (Edin)","5","9","SWE (Edin)","0"
"112","2024","World Championships",251,"7346","2024-03-30 19:00:00",NA,"Draw 2","A","NOR (Ramsfjell)","NZL (Hood)","9","5","NOR (Ramsfjell)","0"
"113","2024","World Championships",251,"7347","2024-03-30 19:00:00",NA,"Draw 2","B","SCO (Mouat)","USA (Shuster)","10","3","SCO (Mouat)","0"
"114","2024","World Championships",251,"7348","2024-03-30 19:00:00",NA,"Draw 2","C","ITA (Retornaz)","JPN (Abe)","6","4","ITA (Retornaz)","0"
"115","2024","World Championships",251,"7349","2024-03-30 19:00:00",NA,"Draw 2","D","CAN (Gushue)","GER (Muskatewitz)","8","5","CAN (Gushue)","0"
"116","2024","World Championships",251,"7350","2024-03-30 14:00:00",NA,"Draw 1","A","KOR (Park)","SCO (Mouat)","3","10","SCO (Mouat)","0"
"117","2024","World Championships",251,"7351","2024-03-30 14:00:00",NA,"Draw 1","B","CAN (Gushue)","CZE (Klima)","9","8","CAN (Gushue)","1"
