"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"30814","Braden Zawada","Lyburn","3.2857","3.2527","7",141,"FREEZE"
"30815","David Staples","Deruelle","3.6667","3.1642","6",141,"FREEZE"
"30816","Dustin Kidby","Casey","3.6667","3.1213","6",141,"FREEZE"
"30817","Matthew Lang","Flasch","3.0000","3.1749","5",141,"FREEZE"
"30818","Mark Bice","Bice","3.0000","3.0318","5",141,"FREEZE"
"30819","Adam Casey","Casey","3.0000","2.9624","5",141,"FREEZE"
"30820","Donald Bowser","Balsdon","3.8000","3.0386","5",141,"FREEZE"
"30821","Martin Crête","Menard","3.7500","3.0143","4",141,"FREEZE"
"30822","Kevin Marsh","Flasch","3.0000","3.1069","4",141,"FREEZE"
"30823","Eric Sylvain","Menard","1.6667","3.1812","3",141,"FREEZE"
"30824","Jean-Michel Ménard","Menard","3.0000","3.0325","3",141,"FREEZE"
"30825","Jamie Farnell","Bice","2.0000","3.0786","1",141,"FREEZE"
"30826","Matthew Lang","Flasch","2.1111","2.4327","9",141,"WICK"
"30827","Scott Howard","Howard","1.8571","2.5804","7",141,"WICK"
"30828","Connor Njegovan","Gunnlaugson","3.1667","2.5288","6",141,"WICK"
"30829","Sean Harrison","Deruelle","0.6667","2.1766","6",141,"WICK"
"30830","Ty Griffith","Morris","1.3333","2.5262","6",141,"WICK"
"30831","Karrick Martin","Bottcher","4.0000","2.5797","4",141,"WICK"
"30832","Braden Zawada","Lyburn","3.5000","2.5797","4",141,"WICK"
"30833","Jamie Farnell","Bice","3.5000","2.5797","2",141,"WICK"
"30834","Dustin Kidby","Casey","2.0000","2.5797","2",141,"WICK"
"30835","Rob Gordon","Simmons","0.0000","2.4839","2",141,"WICK"
"30836","Scott Chadwick","Balsdon","2.0000","2.5797","2",141,"WICK"
"30837","Philippe Ménard","Menard","0.0000","2.5227","1",141,"WICK"
"30838","Kosuke MOROZUMI","Japan","3.4222","3.2823","45",115,"DRAW"
"30839","KIM Min-Chan","Korea","3.6296","3.1418","27",115,"DRAW"
"30840","Yusuke MOROZUMI","Japan","3.7391","2.9199","23",115,"DRAW"
"30841","KIM Chang-Min","Korea","3.0909","2.8979","22",115,"DRAW"
"30842","SEONG Se-Hyeon","Korea","3.0455","2.848","22",115,"DRAW"
"30843","ZOU Dejia","China","2.7619","2.8664","21",115,"DRAW"
"30844","SHAO Zhilin","China","3.4286","3.2367","21",115,"DRAW"
"30845","OH Eun-Su","Korea","3.1579","2.8728","19",115,"DRAW"
"30846","LEE Ki-Bok","Korea","3.5556","3.199","18",115,"DRAW"
"30847","ZOU Qiang","China","3.2667","2.9085","15",115,"DRAW"
"30848","Warren DOBSON","New Zealand","2.6000","2.8419","15",115,"DRAW"
"30849","XU Jingtao","China","3.2857","2.8975","14",115,"DRAW"
"30850","Tsuyoshi YAMAGUCHI","Japan","3.1538","2.8357","13",115,"DRAW"
"30851","Tetsuro SHIMIZU","Japan","3.4615","2.8375","13",115,"DRAW"
"30852","Hugh MILLIKIN","Australia","3.0833","3.1653","12",115,"DRAW"
"30853","Brett SARGON","New Zealand","2.6364","2.8684","11",115,"DRAW"
"30854","Sean BECKER","New Zealand","3.4545","2.827","11",115,"DRAW"
"30855","Hamish WALKER","New Zealand","2.2000","3.2148","5",115,"DRAW"
"30856","Jay MERCHANT","Australia","3.2000","2.8234","5",115,"DRAW"
"30857","Anton HOOD","New Zealand","2.8000","3.1532","5",115,"DRAW"
"30858","Dean HEWITT","Australia","1.7500","2.7482","4",115,"DRAW"
"30859","Ian PALANGIO","Australia","3.5000","2.8532","4",115,"DRAW"
"30860","KIM Chang-Min","Korea","3.2581","3.1559","31",115,"TAKE-OUT"
"30861","Yusuke MOROZUMI","Japan","3.2667","3.1752","30",115,"TAKE-OUT"
"30862","ZOU Dejia","China","3.3478","3.197","23",115,"TAKE-OUT"
"30863","SEONG Se-Hyeon","Korea","2.8636","3.1363","22",115,"TAKE-OUT"
"30864","Tetsuro SHIMIZU","Japan","3.0455","3.1225","22",115,"TAKE-OUT"
"30865","ZOU Qiang","China","3.6190","3.135","21",115,"TAKE-OUT"
"30866","XU Jingtao","China","2.3529","3.0922","17",115,"TAKE-OUT"
"30867","Warren DOBSON","New Zealand","2.7000","3.0683","10",115,"TAKE-OUT"
"30868","Tsuyoshi YAMAGUCHI","Japan","3.2000","3.0367","10",115,"TAKE-OUT"
"30869","Sean BECKER","New Zealand","3.0000","3.1173","9",115,"TAKE-OUT"
"30870","Dean HEWITT","Australia","2.8889","3.0378","9",115,"TAKE-OUT"
"30871","Ian PALANGIO","Australia","2.8750","3.1064","8",115,"TAKE-OUT"
"30872","Kosuke MOROZUMI","Japan","3.1429","3.0594","7",115,"TAKE-OUT"
"30873","OH Eun-Su","Korea","3.4286","3.0526","7",115,"TAKE-OUT"
"30874","SHAO Zhilin","China","3.2857","3.1255","7",115,"TAKE-OUT"
"30875","Jay MERCHANT","Australia","2.6667","2.9984","6",115,"TAKE-OUT"
"30876","Brett SARGON","New Zealand","3.6000","2.9534","5",115,"TAKE-OUT"
"30877","KIM Min-Chan","Korea","3.6000","3.1478","5",115,"TAKE-OUT"
"30878","LEE Ki-Bok","Korea","4.0000","3.0592","5",115,"TAKE-OUT"
"30879","Hamish WALKER","New Zealand","2.0000","3.0126","1",115,"TAKE-OUT"
"30880","LEE Ki-Bok","Korea","3.7778","3.5437","27",115,"FRONT"
"30881","SHAO Zhilin","China","3.5000","3.5444","24",115,"FRONT"
"30882","Kosuke MOROZUMI","Japan","3.8182","3.5303","11",115,"FRONT"
"30883","Anton HOOD","New Zealand","2.6250","3.4853","8",115,"FRONT"
"30884","XU Jingtao","China","3.7500","3.5277","8",115,"FRONT"
