"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"8638","Nick Mosher","NS1 (Mosher)","2.9200","2.623","25",202,"DRAW"
"8639","Anderson MacDougall","PE (Snow)","3.1200","2.9876","25",202,"DRAW"
"8640","Justin Lapointe","QC1 (Tremblay)","2.8750","2.9661","24",202,"DRAW"
"8641","Brayden Snow","PE (Snow)","2.4783","2.4862","23",202,"DRAW"
"8642","Ben Appleton","NO2 (Robert)","3.0435","2.6025","23",202,"DRAW"
"8643","Gavin Martens","SK1 (Derksen)","2.1304","2.8667","23",202,"DRAW"
"8644","Luke Robichaud","NB2 (Robichaud)","2.2174","2.6931","23",202,"DRAW"
"8645","Evan Robert","NO2 (Robert)","2.4348","2.5962","23",202,"DRAW"
"8646","Jack MacFadyen","PE (Snow)","2.9545","2.7149","22",202,"DRAW"
"8647","Dylan Derksen","SK1 (Derksen)","2.6364","2.7559","22",202,"DRAW"
"8648","Emmanuel Normand","QC2 (Jauron)","2.5909","2.9653","22",202,"DRAW"
"8649","Dylan Stockton","ON1 (Stratton)","2.5455","2.612","22",202,"DRAW"
"8650","Cole Hilderman","SK2 (Snow)","2.7143","3.0797","21",202,"DRAW"
"8651","Owen Nicholls","ON1 (Stratton)","3.3000","2.9414","20",202,"DRAW"
"8652","Justin MacKay","NO2 (Robert)","2.7000","2.6833","20",202,"DRAW"
"8653","Kyle Stratton","ON1 (Stratton)","2.5000","2.5543","20",202,"DRAW"
"8654","Shawn Dragon","NT (Bowling)","2.8000","2.6173","20",202,"DRAW"
"8655","rajan dalrymple","NB1 (Marin)","1.9500","2.6708","20",202,"DRAW"
"8656","Christopher McCurdy","NS2 (MacIsaac)","3.4211","3.007","19",202,"DRAW"
"8657","Adrian Tam","BC2 (Tam)","1.9474","2.6493","19",202,"DRAW"
"8658","Austin Tomlinson","BC2 (Tam)","2.6316","2.6641","19",202,"DRAW"
"8659","Alexandre Jauron","QC2 (Jauron)","1.8333","2.6466","18",202,"DRAW"
"8660","Rogan Snow","SK2 (Snow)","2.0556","2.6932","18",202,"DRAW"
"8661","Simon Perry","NL (Perry)","2.3889","2.6073","18",202,"DRAW"
"8662","Ian Gau","NT (Bowling)","1.8235","2.7807","17",202,"DRAW"
"8663","Jackson Dubinsky","NO1 (Rajala)","2.4118","2.6622","17",202,"DRAW"
"8664","Ethan Chiu","BC2 (Tam)","2.0000","2.5953","17",202,"DRAW"
"8665","Jullian Bowling","NT (Bowling)","2.0588","2.6378","17",202,"DRAW"
"8666","Etienne Elias","QC2 (Jauron)","2.5882","2.6748","17",202,"DRAW"
"8667","Jesse Crozier","NO1 (Rajala)","2.3125","2.6542","16",202,"DRAW"
"8668","Logan Sawicki","SK1 (Derksen)","2.8750","2.7059","16",202,"DRAW"
"8669","Jaxon Hiebert","AB1 (Hiebert)","3.5625","2.6509","16",202,"DRAW"
"8670","Luke Olson","SK2 (Snow)","2.7500","2.6634","16",202,"DRAW"
"8671","Jace Freeman","MB1 (Freeman)","3.0000","2.5562","16",202,"DRAW"
"8672","Nate Burton","AB1 (Hiebert)","3.2500","2.9129","16",202,"DRAW"
"8673","Ronan Peterson","MB2 (Peterson)","2.6250","2.6597","16",202,"DRAW"
"8674","Philippe Jauron","QC2 (Jauron)","2.3750","2.6248","16",202,"DRAW"
"8675","Harrison Hrynew","BC2 (Tam)","3.0000","2.9479","15",202,"DRAW"
"8676","Kolby MacDonald","AB1 (Hiebert)","3.3333","2.7196","15",202,"DRAW"
"8677","Jack Steski","MB1 (Freeman)","2.8000","2.6653","15",202,"DRAW"
"8678","Austen Matheson","NB2 (Robichaud)","2.2667","2.6769","15",202,"DRAW"
"8679","Evan Hennigar","NS1 (Mosher)","2.8000","2.6358","15",202,"DRAW"
"8680","William Butler","NL (Perry)","2.4286","2.7165","14",202,"DRAW"
"8681","Nick Senff","MB2 (Peterson)","3.1429","2.6867","14",202,"DRAW"
"8682","Koen Hampshire","BC1 (Blaeser)","2.5000","2.8909","14",202,"DRAW"
"8683","Emmett Knee","NB1 (Marin)","1.9286","2.6957","14",202,"DRAW"
"8684","Davis Nicholson","PE (Snow)","2.0000","2.6009","13",202,"DRAW"
"8685","Jonathan Biemans","ON2 (Rowe)","3.3077","2.7376","13",202,"DRAW"
"8686","Tasir Bhuiyan","NT (Bowling)","2.3846","2.6719","13",202,"DRAW"
"8687","Owen McPherson","NS1 (Mosher)","2.6154","2.698","13",202,"DRAW"
"8688","Nicholas Rowe","ON2 (Rowe)","3.6154","2.7433","13",202,"DRAW"
"8689","Brendan Rajala","NO1 (Rajala)","3.0833","2.7945","12",202,"DRAW"
"8690","Calan MacIsaac","NS2 (MacIsaac)","2.9167","2.6344","12",202,"DRAW"
"8691","James Carr","NB2 (Robichaud)","3.3333","2.7115","12",202,"DRAW"
"8692","Tyler Biemans","ON2 (Rowe)","2.6364","2.6904","11",202,"DRAW"
"8693","Nolan Blaeser","BC1 (Blaeser)","2.0000","2.5461","11",202,"DRAW"
"8694","Nicholas Codner","NL (Perry)","2.8182","2.7238","11",202,"DRAW"
"8695","Raphael Tremblay","QC1 (Tremblay)","2.8000","2.7926","10",202,"DRAW"
"8696","Oliver Burton","AB1 (Hiebert)","3.3000","2.7037","10",202,"DRAW"
"8697","Liam Tardif","ON1 (Stratton)","2.7000","2.6714","10",202,"DRAW"
"8698","Nathan Roy","SK2 (Snow)","2.9000","2.7006","10",202,"DRAW"
"8699","Roan Hunker","MB2 (Peterson)","3.3000","2.6444","10",202,"DRAW"
"8700","Owain Fisher","NS2 (MacIsaac)","3.0000","2.6702","9",202,"DRAW"
"8701","Nolan Beck","BC1 (Blaeser)","1.8889","2.5017","9",202,"DRAW"
"8702","Thomas Lauzon","QC1 (Tremblay)","3.7778","2.712","9",202,"DRAW"
"8703","Nathan Gray","NS2 (MacIsaac)","2.7143","2.6849","7",202,"DRAW"
"8704","Jacob Lepage","QC1 (Tremblay)","3.4286","2.89","7",202,"DRAW"
"8705","Kaiden Beck","BC1 (Blaeser)","1.8571","2.591","7",202,"DRAW"
"8706","Elias Huminicki","MB1 (Freeman)","2.8333","2.6638","6",202,"DRAW"
"8707","Aidan Snider","AB1 (Hiebert)","3.8333","3.1042","6",202,"DRAW"
"8708","Pierre-Olivier Roy","QC1 (Tremblay)","2.7500","2.6171","4",202,"DRAW"
"8709","Logan Thomas","AB2 (Davies )","4.0000","3.3377","1",202,"DRAW"
"8710","Emmett Knee","NB1 (Marin)","3.0263","2.9235","38",202,"TAKE-OUT"
"8711","Zachary Davies","AB2 (Davies )","3.2727","2.9651","33",202,"TAKE-OUT"
"8712","Timothy Marin","NB1 (Marin)","2.7813","2.8919","32",202,"TAKE-OUT"
"8713","rajan dalrymple","NB1 (Marin)","2.8750","2.9987","32",202,"TAKE-OUT"
"8714","Terren Algot","AB2 (Davies )","3.2581","2.9294","31",202,"TAKE-OUT"
"8715","Brendan Rajala","NO1 (Rajala)","3.3103","2.9933","29",202,"TAKE-OUT"
"8716","Benjamin Kiist","AB2 (Davies )","3.6207","3.0325","29",202,"TAKE-OUT"
"8717","Evan Hennigar","NS1 (Mosher)","3.2857","2.9138","28",202,"TAKE-OUT"
"8718","Jace Freeman","MB1 (Freeman)","3.4286","3.0041","28",202,"TAKE-OUT"
"8719","Elias Huminicki","MB1 (Freeman)","3.4231","3.0316","26",202,"TAKE-OUT"
"8720","Nick Mosher","NS1 (Mosher)","2.5385","2.9291","26",202,"TAKE-OUT"
"8721","Luke Robichaud","NB2 (Robichaud)","2.4800","2.8943","25",202,"TAKE-OUT"
"8722","Evan Robert","NO2 (Robert)","2.6400","2.9388","25",202,"TAKE-OUT"
"8723","Jackson Dubinsky","NO1 (Rajala)","3.1250","3.0086","24",202,"TAKE-OUT"
"8724","William Butler","NL (Perry)","3.3043","2.9542","23",202,"TAKE-OUT"
"8725","Nicholas Rowe","ON2 (Rowe)","2.8696","2.9324","23",202,"TAKE-OUT"
"8726","Oliver Burton","AB1 (Hiebert)","3.4545","3.0073","22",202,"TAKE-OUT"
"8727","Ronan Peterson","MB2 (Peterson)","3.1818","3.0412","22",202,"TAKE-OUT"
"8728","James Carr","NB2 (Robichaud)","2.9545","2.9703","22",202,"TAKE-OUT"
"8729","Logan Sawicki","SK1 (Derksen)","2.9524","2.9893","21",202,"TAKE-OUT"
"8730","Tyler Derksen","SK1 (Derksen)","2.8571","2.949","21",202,"TAKE-OUT"
"8731","Owen McPherson","NS1 (Mosher)","3.5714","2.965","21",202,"TAKE-OUT"
"8732","Nick Senff","MB2 (Peterson)","3.0952","2.9885","21",202,"TAKE-OUT"
"8733","Liam Tardif","ON1 (Stratton)","3.5238","2.9841","21",202,"TAKE-OUT"
"8734","Justin MacKay","NO2 (Robert)","2.8000","2.9373","20",202,"TAKE-OUT"
"8735","Jullian Bowling","NT (Bowling)","2.7000","2.8736","20",202,"TAKE-OUT"
"8736","Davis Nicholson","PE (Snow)","2.9000","2.9403","20",202,"TAKE-OUT"
"8737","Philippe Jauron","QC2 (Jauron)","3.1579","2.9502","19",202,"TAKE-OUT"
"8738","Jaxon Hiebert","AB1 (Hiebert)","3.0526","2.9255","19",202,"TAKE-OUT"
"8739","Tyler Biemans","ON2 (Rowe)","3.3684","2.9818","19",202,"TAKE-OUT"
"8740","Jesse Crozier","NO1 (Rajala)","3.1579","2.9486","19",202,"TAKE-OUT"
"8741","Thomas Lauzon","QC1 (Tremblay)","2.9474","3.0147","19",202,"TAKE-OUT"
"8742","Ethan Chiu","BC2 (Tam)","3.1111","2.9206","18",202,"TAKE-OUT"
"8743","Dylan Derksen","SK1 (Derksen)","2.3333","2.9445","18",202,"TAKE-OUT"
"8744","Simon Perry","NL (Perry)","3.0556","3.0039","18",202,"TAKE-OUT"
"8745","Jonathan Biemans","ON2 (Rowe)","3.7222","2.9955","18",202,"TAKE-OUT"
"8746","Ben Appleton","NO2 (Robert)","2.8333","2.9456","18",202,"TAKE-OUT"
"8747","Nicholas Codner","NL (Perry)","3.5882","3.0631","17",202,"TAKE-OUT"
"8748","Owain Fisher","NS2 (MacIsaac)","3.5294","2.9312","17",202,"TAKE-OUT"
"8749","Kolby MacDonald","AB1 (Hiebert)","2.8824","2.9172","17",202,"TAKE-OUT"
"8750","Etienne Elias","QC2 (Jauron)","2.7059","2.9283","17",202,"TAKE-OUT"
"8751","Brayden Snow","PE (Snow)","2.6471","2.996","17",202,"TAKE-OUT"
"8752","Roan Hunker","MB2 (Peterson)","2.9412","2.9103","17",202,"TAKE-OUT"
"8753","Austen Matheson","NB2 (Robichaud)","3.3125","2.8894","16",202,"TAKE-OUT"
"8754","Adrian Tam","BC2 (Tam)","2.7500","2.8535","16",202,"TAKE-OUT"
"8755","Tasir Bhuiyan","NT (Bowling)","2.3125","2.9339","16",202,"TAKE-OUT"
"8756","Nathan Roy","SK2 (Snow)","3.0000","3.0228","15",202,"TAKE-OUT"
"8757","Raphael Tremblay","QC1 (Tremblay)","3.2667","2.9868","15",202,"TAKE-OUT"
"8758","Kyle Stratton","ON1 (Stratton)","2.9333","3.0065","15",202,"TAKE-OUT"
"8759","Calan MacIsaac","NS2 (MacIsaac)","2.8667","2.9338","15",202,"TAKE-OUT"
"8760","Jack MacFadyen","PE (Snow)","2.9333","3.0395","15",202,"TAKE-OUT"
"8761","Jack Steski","MB1 (Freeman)","3.4000","2.9886","15",202,"TAKE-OUT"
"8762","Alexandre Jauron","QC2 (Jauron)","2.3333","2.9314","15",202,"TAKE-OUT"
"8763","Shawn Dragon","NT (Bowling)","3.0000","2.9029","14",202,"TAKE-OUT"
"8764","Austin Tomlinson","BC2 (Tam)","3.0000","2.9652","14",202,"TAKE-OUT"
"8765","Luke Olson","SK2 (Snow)","3.0714","2.9307","14",202,"TAKE-OUT"
"8766","Adam Wiersema","NO1 (Rajala)","3.6154","2.9256","13",202,"TAKE-OUT"
"8767","Rogan Snow","SK2 (Snow)","3.3846","2.9915","13",202,"TAKE-OUT"
"8768","Nathan Gray","NS2 (MacIsaac)","3.0769","3.0166","13",202,"TAKE-OUT"
"8769","Gavin Martens","SK1 (Derksen)","3.0833","2.9492","12",202,"TAKE-OUT"
"8770","Lucas Sawiak","AB2 (Davies )","3.8182","2.9451","11",202,"TAKE-OUT"
"8771","Nolan Beck","BC1 (Blaeser)","2.5455","2.9447","11",202,"TAKE-OUT"
"8772","Nathan Kelly","MB2 (Peterson)","3.1818","2.8886","11",202,"TAKE-OUT"
"8773","Emmanuel Normand","QC2 (Jauron)","2.6000","2.8781","10",202,"TAKE-OUT"
"8774","Aiden Matheson","NB2 (Robichaud)","2.3000","2.9386","10",202,"TAKE-OUT"
"8775","Kaiden Beck","BC1 (Blaeser)","3.3000","3.042","10",202,"TAKE-OUT"
"8776","Benjamin Miskiw","NO2 (Robert)","2.5000","2.8729","10",202,"TAKE-OUT"
"8777","Pierre-Olivier Roy","QC1 (Tremblay)","3.1000","2.9842","10",202,"TAKE-OUT"
"8778","Nolan Blaeser","BC1 (Blaeser)","1.7778","2.8702","9",202,"TAKE-OUT"
"8779","Dylan Stockton","ON1 (Stratton)","2.8889","2.947","9",202,"TAKE-OUT"
"8780","Aidan MacDonald","NS1 (Mosher)","2.4444","2.9181","9",202,"TAKE-OUT"
"8781","Liam Rowe","ON2 (Rowe)","3.1250","2.9705","8",202,"TAKE-OUT"
"8782","Owen Nicholls","ON1 (Stratton)","2.8571","2.9435","7",202,"TAKE-OUT"
"8783","Rylan Graham","MB1 (Freeman)","3.1667","2.9025","6",202,"TAKE-OUT"
"8784","Harrison Hrynew","BC2 (Tam)","3.0000","2.9778","6",202,"TAKE-OUT"
"8785","Anderson MacDougall","PE (Snow)","2.6667","2.9254","6",202,"TAKE-OUT"
"8786","Justin Lapointe","QC1 (Tremblay)","2.6000","2.9015","5",202,"TAKE-OUT"
"8787","Cole Hilderman","SK2 (Snow)","2.4000","2.919","5",202,"TAKE-OUT"
"8788","Ian Gau","NT (Bowling)","2.0000","2.8939","5",202,"TAKE-OUT"
"8789","Koen Hampshire","BC1 (Blaeser)","2.6000","2.9222","5",202,"TAKE-OUT"
"8790","Evan Scott","NL (Perry)","2.4000","2.9623","5",202,"TAKE-OUT"
"8791","Cameron Sallaj","NB1 (Marin)","3.5000","2.8903","4",202,"TAKE-OUT"
"8792","Aidan Snider","AB1 (Hiebert)","4.0000","3.0145","2",202,"TAKE-OUT"
"8793","Nate Burton","AB1 (Hiebert)","4.0000","2.9335","2",202,"TAKE-OUT"
"8794","Christopher McCurdy","NS2 (MacIsaac)","4.0000","2.9636","2",202,"TAKE-OUT"
"8795","Cameron Sallaj","NB1 (Marin)","3.6765","3.3382","34",202,"FRONT"
"8796","Ian Gau","NT (Bowling)","2.9412","3.3338","34",202,"FRONT"
"8797","Gavin Martens","SK1 (Derksen)","3.4815","3.3315","27",202,"FRONT"
"8798","Benjamin Miskiw","NO2 (Robert)","3.2083","3.334","24",202,"FRONT"
"8799","Harrison Hrynew","BC2 (Tam)","3.1250","3.3418","24",202,"FRONT"
"8800","Rylan Graham","MB1 (Freeman)","3.6250","3.3303","24",202,"FRONT"
"8801","Aidan MacDonald","NS1 (Mosher)","3.7143","3.3638","21",202,"FRONT"
"8802","Anderson MacDougall","PE (Snow)","3.2105","3.3394","19",202,"FRONT"
"8803","Christopher McCurdy","NS2 (MacIsaac)","3.8235","3.3341","17",202,"FRONT"
"8804","Liam Rowe","ON2 (Rowe)","3.6471","3.3264","17",202,"FRONT"
"8805","Emmanuel Normand","QC2 (Jauron)","3.1333","3.3308","15",202,"FRONT"
"8806","Evan Scott","NL (Perry)","3.7143","3.3355","14",202,"FRONT"
"8807","Adam Wiersema","NO1 (Rajala)","3.5000","3.3343","14",202,"FRONT"
"8808","Nate Burton","AB1 (Hiebert)","4.0000","3.3329","13",202,"FRONT"
"8809","Cole Hilderman","SK2 (Snow)","3.2500","3.324","12",202,"FRONT"
"8810","Aiden Matheson","NB2 (Robichaud)","3.7500","3.336","12",202,"FRONT"
"8811","Owen Nicholls","ON1 (Stratton)","3.2727","3.3504","11",202,"FRONT"
"8812","Lucas Sawiak","AB2 (Davies )","3.4000","3.3391","10",202,"FRONT"
"8813","Nathan Kelly","MB2 (Peterson)","3.5000","3.3215","10",202,"FRONT"
"8814","Justin Lapointe","QC1 (Tremblay)","3.6250","3.3116","8",202,"FRONT"
"8815","Koen Hampshire","BC1 (Blaeser)","2.5714","3.3032","7",202,"FRONT"
"8816","Evan Hennigar","NS1 (Mosher)","3.7500","3.3937","4",202,"FRONT"
"8817","Jack Steski","MB1 (Freeman)","3.5000","3.4451","4",202,"FRONT"
"8818","Jack MacFadyen","PE (Snow)","2.6667","3.2822","3",202,"FRONT"
"8819","Jacob Lepage","QC1 (Tremblay)","4.0000","3.3446","3",202,"FRONT"
"8820","Austen Matheson","NB2 (Robichaud)","3.6667","3.378","3",202,"FRONT"
"8821","Tyler Biemans","ON2 (Rowe)","4.0000","3.3975","3",202,"FRONT"
"8822","James Carr","NB2 (Robichaud)","4.0000","3.4792","2",202,"FRONT"
"8823","rajan dalrymple","NB1 (Marin)","4.0000","3.4287","2",202,"FRONT"
"8824","Emmett Knee","NB1 (Marin)","3.0000","3.3096","2",202,"FRONT"
"8825","Ben Appleton","NO2 (Robert)","3.5000","3.2614","2",202,"FRONT"
"8826","Jonathan Biemans","ON2 (Rowe)","3.0000","3.475","2",202,"FRONT"
"8827","Owen McPherson","NS1 (Mosher)","3.5000","3.4125","2",202,"FRONT"
"8828","Ethan Chiu","BC2 (Tam)","3.5000","3.344","2",202,"FRONT"
"8829","Elias Huminicki","MB1 (Freeman)","4.0000","3.4792","2",202,"FRONT"
"8830","Davis Nicholson","PE (Snow)","3.0000","3.3976","2",202,"FRONT"
"8831","Aidan Snider","AB1 (Hiebert)","4.0000","3.2479","2",202,"FRONT"
"8832","Rogan Snow","SK2 (Snow)","3.0000","3.4299","1",202,"FRONT"
"8833","Nathan Roy","SK2 (Snow)","4.0000","3.2768","1",202,"FRONT"
"8834","Jesse Crozier","NO1 (Rajala)","4.0000","3.3718","1",202,"FRONT"
"8835","Luke Olson","SK2 (Snow)","1.0000","3.3959","1",202,"FRONT"
"8836","Timothy Marin","NB1 (Marin)","3.0000","3.3269","1",202,"FRONT"
"8837","Etienne Elias","QC2 (Jauron)","4.0000","3.4471","1",202,"FRONT"
"8838","William Butler","NL (Perry)","2.0000","3.213","1",202,"FRONT"
"8839","Shawn Dragon","NT (Bowling)","4.0000","3.3355","1",202,"FRONT"
"8840","Philippe Jauron","QC2 (Jauron)","4.0000","3.3012","1",202,"FRONT"
"8841","Nathan Gray","NS2 (MacIsaac)","4.0000","3.2886","1",202,"FRONT"
"8842","Nicholas Rowe","ON2 (Rowe)","4.0000","3.4502","1",202,"FRONT"
"8843","Roan Hunker","MB2 (Peterson)","2.0000","3.2975","1",202,"FRONT"
"8844","Alexandre Jauron","QC2 (Jauron)","4.0000","3.3215","1",202,"FRONT"
"8845","Pierre-Olivier Roy","QC1 (Tremblay)","3.0000","3.2325","1",202,"FRONT"
"8846","Jackson Dubinsky","NO1 (Rajala)","2.0000","3.3851","1",202,"FRONT"
"8847","Brendan Rajala","NO1 (Rajala)","1.0000","3.1353","1",202,"FRONT"
"8848","Logan Sawicki","SK1 (Derksen)","4.0000","3.368","1",202,"FRONT"
"8849","rajan dalrymple","NB1 (Marin)","2.8235","2.8435","17",202,"HIT-ROLL"
"8850","Elias Huminicki","MB1 (Freeman)","3.0667","2.8299","15",202,"HIT-ROLL"
"8851","Jace Freeman","MB1 (Freeman)","3.0000","2.7518","14",202,"HIT-ROLL"
"8852","Oliver Burton","AB1 (Hiebert)","3.2727","2.8497","11",202,"HIT-ROLL"
"8853","Jack Steski","MB1 (Freeman)","1.6000","2.6678","10",202,"HIT-ROLL"
"8854","Emmett Knee","NB1 (Marin)","2.8000","2.7437","10",202,"HIT-ROLL"
"8855","Owen McPherson","NS1 (Mosher)","2.9000","2.8291","10",202,"HIT-ROLL"
"8856","Simon Perry","NL (Perry)","2.5556","2.6339","9",202,"HIT-ROLL"
"8857","Jaxon Hiebert","AB1 (Hiebert)","2.8889","2.7563","9",202,"HIT-ROLL"
"8858","Kolby MacDonald","AB1 (Hiebert)","3.2222","2.7848","9",202,"HIT-ROLL"
"8859","Raphael Tremblay","QC1 (Tremblay)","2.3333","2.6882","9",202,"HIT-ROLL"
"8860","Nick Senff","MB2 (Peterson)","2.1111","2.7974","9",202,"HIT-ROLL"
"8861","Dylan Derksen","SK1 (Derksen)","2.0000","2.5493","8",202,"HIT-ROLL"
"8862","Tasir Bhuiyan","NT (Bowling)","2.7500","2.8039","8",202,"HIT-ROLL"
"8863","Logan Sawicki","SK1 (Derksen)","2.5714","2.8543","7",202,"HIT-ROLL"
"8864","Kaiden Beck","BC1 (Blaeser)","2.7143","2.7463","7",202,"HIT-ROLL"
"8865","Nicholas Codner","NL (Perry)","3.2857","2.8559","7",202,"HIT-ROLL"
"8866","Benjamin Kiist","AB2 (Davies )","3.2857","2.8693","7",202,"HIT-ROLL"
"8867","Adrian Tam","BC2 (Tam)","2.2857","2.6341","7",202,"HIT-ROLL"
"8868","Roan Hunker","MB2 (Peterson)","3.4286","2.7263","7",202,"HIT-ROLL"
"8869","Ben Appleton","NO2 (Robert)","2.4286","2.6567","7",202,"HIT-ROLL"
"8870","Evan Hennigar","NS1 (Mosher)","2.1429","2.6882","7",202,"HIT-ROLL"
"8871","Owain Fisher","NS2 (MacIsaac)","2.1667","2.7457","6",202,"HIT-ROLL"
"8872","Timothy Marin","NB1 (Marin)","3.1667","2.7289","6",202,"HIT-ROLL"
"8873","Nicholas Rowe","ON2 (Rowe)","3.3333","2.8253","6",202,"HIT-ROLL"
"8874","Jesse Crozier","NO1 (Rajala)","2.6667","2.751","6",202,"HIT-ROLL"
"8875","Jack MacFadyen","PE (Snow)","2.6667","2.8023","6",202,"HIT-ROLL"
"8876","Davis Nicholson","PE (Snow)","1.8333","2.7073","6",202,"HIT-ROLL"
"8877","Brendan Rajala","NO1 (Rajala)","3.0000","2.7513","6",202,"HIT-ROLL"
"8878","Philippe Jauron","QC2 (Jauron)","3.0000","2.8317","6",202,"HIT-ROLL"
"8879","Brayden Snow","PE (Snow)","2.0000","2.7922","6",202,"HIT-ROLL"
"8880","Tyler Derksen","SK1 (Derksen)","3.0000","2.6975","6",202,"HIT-ROLL"
"8881","Alexandre Jauron","QC2 (Jauron)","2.5000","2.7144","6",202,"HIT-ROLL"
"8882","Nick Mosher","NS1 (Mosher)","3.0000","2.8444","6",202,"HIT-ROLL"
"8883","Justin MacKay","NO2 (Robert)","1.8000","2.7582","5",202,"HIT-ROLL"
"8884","Pierre-Olivier Roy","QC1 (Tremblay)","2.8000","2.7588","5",202,"HIT-ROLL"
"8885","James Carr","NB2 (Robichaud)","3.2000","2.8739","5",202,"HIT-ROLL"
"8886","Austen Matheson","NB2 (Robichaud)","2.4000","2.7452","5",202,"HIT-ROLL"
"8887","Luke Robichaud","NB2 (Robichaud)","2.6000","2.7549","5",202,"HIT-ROLL"
"8888","Austin Tomlinson","BC2 (Tam)","2.8000","2.7463","5",202,"HIT-ROLL"
"8889","Nathan Gray","NS2 (MacIsaac)","2.2000","2.8349","5",202,"HIT-ROLL"
"8890","Terren Algot","AB2 (Davies )","4.0000","2.7846","4",202,"HIT-ROLL"
"8891","Evan Robert","NO2 (Robert)","2.5000","2.8062","4",202,"HIT-ROLL"
"8892","Nolan Beck","BC1 (Blaeser)","2.7500","2.7339","4",202,"HIT-ROLL"
"8893","Justin Lapointe","QC1 (Tremblay)","1.0000","2.7104","4",202,"HIT-ROLL"
"8894","Ethan Chiu","BC2 (Tam)","2.5000","2.7358","4",202,"HIT-ROLL"
"8895","Jullian Bowling","NT (Bowling)","2.5000","2.5636","4",202,"HIT-ROLL"
"8896","Kyle Stratton","ON1 (Stratton)","2.7500","2.5907","4",202,"HIT-ROLL"
"8897","Shawn Dragon","NT (Bowling)","2.0000","2.7754","4",202,"HIT-ROLL"
"8898","Thomas Lauzon","QC1 (Tremblay)","3.0000","2.8574","4",202,"HIT-ROLL"
"8899","Ronan Peterson","MB2 (Peterson)","2.5000","2.8047","4",202,"HIT-ROLL"
"8900","Jonathan Biemans","ON2 (Rowe)","3.3333","2.8004","3",202,"HIT-ROLL"
"8901","Aiden Matheson","NB2 (Robichaud)","2.0000","2.9439","3",202,"HIT-ROLL"
"8902","William Butler","NL (Perry)","2.6667","2.7329","3",202,"HIT-ROLL"
"8903","Nate Burton","AB1 (Hiebert)","2.6667","2.6638","3",202,"HIT-ROLL"
"8904","Jacob Lepage","QC1 (Tremblay)","2.0000","2.8092","3",202,"HIT-ROLL"
"8905","Tyler Biemans","ON2 (Rowe)","3.3333","2.6822","3",202,"HIT-ROLL"
"8906","Aidan MacDonald","NS1 (Mosher)","4.0000","2.7708","3",202,"HIT-ROLL"
"8907","Etienne Elias","QC2 (Jauron)","3.0000","2.7651","3",202,"HIT-ROLL"
"8908","Jackson Dubinsky","NO1 (Rajala)","2.0000","2.7349","3",202,"HIT-ROLL"
"8909","Rogan Snow","SK2 (Snow)","3.0000","2.727","3",202,"HIT-ROLL"
"8910","Dylan Stockton","ON1 (Stratton)","3.3333","2.7077","3",202,"HIT-ROLL"
"8911","Zachary Davies","AB2 (Davies )","3.0000","2.9142","3",202,"HIT-ROLL"
"8912","Liam Rowe","ON2 (Rowe)","3.0000","2.7503","3",202,"HIT-ROLL"
"8913","Liam Tardif","ON1 (Stratton)","4.0000","2.9244","2",202,"HIT-ROLL"
"8914","Anderson MacDougall","PE (Snow)","2.5000","2.67","2",202,"HIT-ROLL"
"8915","Rylan Graham","MB1 (Freeman)","2.0000","2.6368","2",202,"HIT-ROLL"
"8916","Nathan Kelly","MB2 (Peterson)","3.0000","2.6962","2",202,"HIT-ROLL"
"8917","Cameron Sallaj","NB1 (Marin)","3.0000","2.8397","2",202,"HIT-ROLL"
"8918","Calan MacIsaac","NS2 (MacIsaac)","3.5000","2.8816","2",202,"HIT-ROLL"
"8919","Christopher McCurdy","NS2 (MacIsaac)","2.0000","2.8455","2",202,"HIT-ROLL"
"8920","Aidan Snider","AB1 (Hiebert)","1.0000","2.9739","2",202,"HIT-ROLL"
"8921","Cole Hilderman","SK2 (Snow)","3.0000","2.6566","2",202,"HIT-ROLL"
"8922","Nathan Roy","SK2 (Snow)","1.5000","2.7694","2",202,"HIT-ROLL"
"8923","Gavin Martens","SK1 (Derksen)","1.0000","2.6971","1",202,"HIT-ROLL"
"8924","Emmanuel Normand","QC2 (Jauron)","4.0000","2.6834","1",202,"HIT-ROLL"
"8925","Owen Nicholls","ON1 (Stratton)","4.0000","2.6796","1",202,"HIT-ROLL"
"8926","Adam Wiersema","NO1 (Rajala)","4.0000","2.6971","1",202,"HIT-ROLL"
"8927","Luke Olson","SK2 (Snow)","3.0000","2.557","1",202,"HIT-ROLL"
"8928","Lucas Sawiak","AB2 (Davies )","4.0000","2.8919","1",202,"HIT-ROLL"
"8929","Benjamin Miskiw","NO2 (Robert)","4.0000","2.8149","1",202,"HIT-ROLL"
"8930","Nolan Blaeser","BC1 (Blaeser)","3.0000","2.5971","1",202,"HIT-ROLL"
"8931","Evan Scott","NL (Perry)","0.0000","2.6933","1",202,"HIT-ROLL"
"8932","Nathan Gray","NS2 (MacIsaac)","3.9231","3.3123","13",202,"GUARD"
"8933","Zachary Davies","AB2 (Davies )","3.8333","3.2264","12",202,"GUARD"
"8934","Rylan Graham","MB1 (Freeman)","3.7000","3.1851","10",202,"GUARD"
"8935","Shawn Dragon","NT (Bowling)","2.7778","3.2352","9",202,"GUARD"
"8936","Benjamin Kiist","AB2 (Davies )","3.7778","3.3144","9",202,"GUARD"
